country,2008,2013,delta
Aruba,8503.48828125,8555.7734375,1.0061486715240482
Afghanistan,125965.8203125,197455.34375,1.5675311228089217
Angola,1269336.375,1171439.75,0.9228757428463358
Anguilla,2464.411865234375,3263.42724609375,1.3242215281183876
Albania,82776.0859375,105121.96875,1.2699557796121483
Åland,7173.2138671875,9985.5009765625,1.392053988831878
Andorra,15291.5048828125,16590.25390625,1.0849327148237242
United Arab Emirates,867447.375,1165965.375,1.3441338444306203
Argentina,3695843.5,4352974.0,1.177802577408919
Armenia,83058.5390625,108032.8828125,1.3006836386949603
American Samoa,2672.589111328125,3183.327880859375,1.1911026155746933
Antarctica,9850.4638671875,11126.9921875,1.1295906809591671
Ashmore and Cartier Is.,0.5677361488342285,1.826169729232788,3.2165817395679093
Fr. S. Antarctic Lands,1877.6773681640625,1867.9913330078125,0.9948414805863476
Antigua and Barb.,8056.64794921875,9806.91015625,1.2172444691716946
Australia,3056727.0,3423652.0,1.1200385248666302
Austria,721469.0,832019.375,1.1532295566406872
Azerbaijan,218318.828125,327445.90625,1.4998518866293955
Burundi,16965.333984375,17365.78515625,1.0236040842015732
Belgium,1500897.75,1571831.625,1.0472609643128588
Benin,152178.09375,197691.25,1.2990782387166024
Burkina Faso,202796.421875,258988.515625,1.2770862189306071
Bangladesh,237579.515625,371256.6875,1.5626628689907702
Bulgaria,414418.125,408134.3125,0.9848370229945903
Bahrain,39936.6640625,47551.9765625,1.190684742423208
Bahamas,32217.46484375,36851.3203125,1.1438305431921327
Bosnia and Herz.,191393.4375,199508.1875,1.0423982666594824
Bajo Nuevo Bank,0.10447760671377182,0.13636364042758942,1.3051949093854436
St-Barthélemy,1236.947509765625,1407.1875,1.1376291143240442
Belarus,513136.375,797022.1875,1.5532365786775495
Belize,21657.8203125,30673.58203125,1.4162820444837874
Bermuda,5399.333984375,5738.06591796875,1.0627358734566148
Bolivia,670118.5625,679585.3125,1.014126977716723
Brazil,10235032.0,12446876.0,1.216105235430627
Barbados,17896.208984375,19303.13671875,1.078615964733278
Brunei,47915.765625,59889.19921875,1.2498850521863074
Bhutan,10296.01953125,14965.724609375,1.4535446988956973
Botswana,210873.609375,158575.171875,0.751991547662103
Central African Rep.,521731.8125,689141.625,1.3208733078740527
Canada,11041637.0,12850933.0,1.1638612100723833
Switzerland,782649.625,839669.25,1.0728545995278538
Chile,887389.4375,1140102.625,1.2847827310317743
China,19675948.0,30427820.0,1.5464474697737562
Côte d'Ivoire,281034.21875,454188.46875,1.616132265921799
Clipperton I.,1.2978134155273438,0.0,0.0
Cameroon,342806.09375,360766.125,1.0523912251778633
Cyprus U.N. Buffer Zone,14601.0,15912.9453125,1.0898531136565988
Dem. Rep. Congo,1746154.125,1739075.5,0.995946162541637
Congo,240215.109375,267503.09375,1.1135981181450194
Cook Is.,386.44775390625,243.41004943847656,0.6298653491398645
Colombia,1128099.5,1404683.125,1.2451766222748968
Comoros,898.30908203125,1290.991943359375,1.4371355797051426
Cabo Verde,7267.7001953125,10515.6533203125,1.4469024640139745
Costa Rica,175892.515625,235415.28125,1.3384041976629726
Coral Sea Is.,0.45610788464546204,0.1855669915676117,0.4068489009170606
Cuba,214384.15625,289088.59375,1.348460626973221
Curaçao,12879.33203125,14653.1220703125,1.13772376042163
Cayman Is.,8234.4248046875,10488.416015625,1.2737278273103425
N. Cyprus,37505.5703125,47055.9453125,1.2546388421886498
Cyprus,96218.828125,110126.8203125,1.1445454331394664
Czechia,889572.625,908369.75,1.0211305119691605
Germany,5429564.5,5688838.5,1.047752264477197
Djibouti,6283.5419921875,9762.724609375,1.5536976790340962
Dominica,1526.8349609375,2495.50537109375,1.6344303313316009
Denmark,447088.40625,573542.25,1.2828385661141264
Dominican Rep.,183289.609375,226477.625,1.2356271900642213
Algeria,1732807.875,2622324.25,1.5133381420026153
Ecuador,465966.15625,703920.625,1.5106689950725365
Egypt,2998691.25,3373680.5,1.1250509701523956
Eritrea,20308.296875,19768.45703125,0.9734177687536882
Dhekelia,5807.61669921875,6961.076171875,1.1986115014807046
Spain,5146479.0,5414661.5,1.052109898825974
Estonia,243997.4375,326483.09375,1.3380595185553947
Ethiopia,524822.25,560375.625,1.06774365035019
Finland,2833705.75,3655693.0,1.2900750192570276
Fiji,22026.646484375,18149.8203125,0.8239938079260002
Falkland Is.,3436.748779296875,3560.5478515625,1.036022147737826
France,6939645.5,7606032.0,1.0960260145853271
Faeroe Is.,12080.150390625,10543.7734375,0.8728180607488686
Micronesia,651.1747436523438,776.7954711914062,1.1929140046717326
Gabon,119562.328125,131643.71875,1.1010467997274958
United Kingdom,5345254.5,5547053.0,1.0377528329100139
Georgia,115823.8046875,171275.25,1.478756896840952
Guernsey,3925.204833984375,3355.262939453125,0.854799451586144
Ghana,293135.03125,478540.6875,1.6324923208917903
Gibraltar,461.6302185058594,539.4548950195312,1.1685866162868712
Guinea,399781.75,528792.6875,1.3227034188028843
Gambia,17920.751953125,17758.197265625,0.9909292485089246
Guinea-Bissau,35793.79296875,39408.6640625,1.100991562892091
Eq. Guinea,10017.0361328125,25215.576171875,2.517269164007216
Greece,1000484.3125,1097266.5,1.0967353373669215
Grenada,4286.13720703125,5120.53515625,1.1946736441031218
Greenland,286953.53125,431754.375,1.5046142597347807
Guatemala,197550.296875,271356.3125,1.3736061994971376
Guam,20813.900390625,23016.919921875,1.1058436664875309
Guyana,32505.94921875,49366.58203125,1.5186937535352603
Hong Kong,71141.59375,72605.953125,1.0205837302457115
Heard I. and McDonald Is.,112.868408203125,801.3517456054688,7.099876381381284
